,Item Name,price
0,Amla,68.64347941
1,Anjura/Fig,91.00755375
2,Apple Australia,156.3701153
3,Apple Chaina Delicious,193.0377929
4,Apple Chilli,120.7120874
5,Apple Delicious,139.3455328
6,Apple Economy,120.4862966
7,Apple Fuji chaina,224.7872563
8,Apple Golden delicious,82.55275822
9,Apple Green smith,274.7171165
10,Apple Newzeland,228.2143043
11,Apple Simla,101.0771178
12,Apple Washington,236.4205622
13,Apple hazarath palli,120.2965008
14,Apple juice,87.11098682
15,Arive greens,37.78063005
16,Avare seed (FB seeds),118.0935804
17,Avarebele (F. Beans spok),198.3171477
18,Avarekai (Field Beans ),49.76985771
19,Baby corn,25.82796014
20,Baby corn cleaned,119.2305578
21,Bale hoovu(B.flower),25.69544588
22,BaleDindu (Banana stem),27.86316596
23,Banana Nendra,59.59481722
24,Banana Rasabale,48.53644674
25,Banana Yellaki,61.18997418
26,Banana chandra,61.93920518
27,Banana cooking R.Banana,50.55209802
28,Banana pachabale,25.44384535
29,Basale Greens,43.27121777
30,Batani kalu,261.8440033
31,Beans,50.2800149
32,Beans Fruit,55.69511614
33,Beans Nati,24.20412769
34,Beans Ring,20.99065308
35,Beans cleaned,53.17562763
36,Beet Root,31.54837171
37,Berry Golden,231.8282662
38,Berry Green,178.6788337
39,Berry Soft,188.3632096
40,Berry Southafrica,173.4654224
41,Berry ball,74.96131673
42,Berry fruit Ooty,20.10539826
43,Bitter Gourd,37.14516947
44,Bore fruit,28.95514451
45,Bottle Gourd,27.61550953
46,Brahmi amla juice,92.39249589
47,Bread fruit,58.52339063
48,Brinjal (R),27.97209218
49,Brinjal (W),36.98162493
50,Brinjal Bottle,41.81495228
51,Brocoli,224.3332512
52,Butter fruit,107.3694942
53,Byladha Hannu,37.23600694
54,Cabbage,21.78053259
55,Cabbage Red,72.45287493
56,Cabbage chaina,65.10628813
57,Capsicum,45.1778098
58,Capsicum Red/Yellow,122.0103519
59,Carrot Delhi,36.50683859
60,Carrot Nati,46.59534727
61,Carrot ooty,54.94500959
62,Cauliflower per Kg,45.88409538
63,Cauliflower(B),37.04913569
64,Cauliflower(M),30.11530252
65,Chain Berry,140.1352815
66,Chakota greens,40.21285397
67,Cherry Tomoto,93.86360603
68,Cherry fruit,98.58086936
69,Cherry kashmir,407.5031692
70,Chicco(Sapota),43.72322267
71,Chicco(Sapota) rapined,49.38336719
72,Chikadi kai,49.31415754
73,Chikkadikai Round,44.02990064
74,Chikkadikai cleaned,57.75863642
75,Chilakarive green,25.81011216
76,Chilles small cleaned (C.B.P),74.01803113
77,Chillies Bajji,40.94160615
78,Chillies Bajji yagani,44.8695402
79,Chillies Cleaned,43.62541947
80,Chillies Green,42.91264025
81,Chillies small (C.B.P),73.91651427
82,Chocolates Drink box,39.59610534
83,Chow-Chow,30.7720521
84,Cluster Bean Local,37.12199282
85,Cluster Beans Bunches,21.360926
86,Coconut (B),27.31323058
87,Coconut (M),23.84302105
88,Coconut (OS),14.54512215
89,Coconut (S),18.76429537
90,Coconut oil 500 ml,96.65737395
91,Copra,149.7519769
92,Corriander Leave,48.31503146
93,Cowpea Long,54.45231845
94,Cucumber,23.68028912
95,Cucumber Israle,42.72030484
96,Cucumber Nati,40.7776743
97,Cucumber Ooty,115.4119449
98,Cucumber white,26.95770388
99,Curry leave,65.24355688
100,Custerd Apple,42.24659764
101,Dhantu greens,42.5424693
102,Double Beans,86.79138272
103,Double Beans seeds,169.1332548
104,Drumstik,85.62224382
105,Dry apricot,7.766820046
106,Dry dates,140.1005719
107,Dry fruit mixed,112.1883199
108,Eggs,5.035265942
109,Fanda,32.99676727
110,Fruit Juice Tailand,15.83840653
111,G. nut Golden oil 1 lt,146.7205958
112,G. nut oil Rice 1 lt,82.66324628
113,G. nut oil safal deep1 lt,96.80239986
114,G. nut sungold 1 lt,110.3385012
115,G.nut oil Premium1 lt,118.6283796
116,G.nut oil Rice Bron 1 lt,102.9638769
117,G.oil Net rich 500 ml,58.11591387
118,Garlic,110.1841385
119,Garlic cleaned,172.0392458
120,Ginger,52.19939425
121,Ginger New,63.53577591
122,Grapes Blore blue,46.5048235
123,Grapes Crimson,37.02107965
124,Grapes Dilkush,65.83118977
125,Grapes Dry 250gm,94.16507596
126,Grapes Flame,77.03973712
127,Grapes Krishna sharad,109.6260266
128,Grapes Red globe,383.1190173
129,Grapes Rose,52.00448405
130,Grapes Sharad,105.5815564
131,Grapes Sonika,105.4041994
132,Grapes T.S.,101.5686589
133,GrapesAnabi shahi,21.05663851
134,Grapesh Tash ganesh,84.73977939
135,Greens Sabbakki,58.83148667
136,Ground nut Local,78.47338386
137,Ground nut oil 1 lt,118.9582599
138,Ground nut oil 5 lt,743.4644609
139,Guava,56.20960405
140,Guava Allahabad(Red),73.93491009
141,Gulkan 1 kg,105.5911752
142,Gulkan 1/2 kg,52.79599893
143,Gulkan 1/4 kg,39.59566695
144,Herali kai,68.52149283
145,Hesaru kalu,108.5791426
146,Honney 1 Kg,253.4191209
147,Honney 1/2,138.5898512
148,Honney 100 gm,38.27552457
149,Honney 200 gm,71.27272107
150,Indian Black globe Grapes,116.7856269
151,Indian red globe,162.0478075
152,Jack fruit,20.60418469
153,Jam 1 kg,98.98912519
154,Jam 1/2 kg,72.59103419
155,Jam 100 gm,19.79774066
156,Jam 200 gm,32.99640809
157,Jambo fruit(Nerale),215.7296671
158,Jukani,133.5126496
159,Jumbu juice,164.9851308
160,Kakadi,62.25764358
161,Kashini (Ganike) Greens,10.37460659
162,Kiwi fruit,402.3299912
163,Komark fruit,30.58407858
164,Ladys finger,46.97545458
165,Leeks,163.5506062
166,Letteus Greens,146.4365255
167,Lime Local,95.57244447
168,Lime Pickles,85.79268266
169,Litchi Juice,87.11193441
170,Litchi Local,255.6404372
171,Litchi Taiwan/chaina,285.6306901
172,Little gourd,26.38175095
173,Maize,20.20776283
174,Mangalore cucumber,22.79534542
175,Mango,18.20641147
176,Mango Alphans,58.41129805
177,Mango Alphans box,94.34006268
178,Mango Amarpalli,34.4699038
179,Mango Badami,53.6775426
180,Mango Bygan palli,41.17506474
181,Mango Dasheri,54.1789851
182,Mango Kesar,34.57630932
183,Mango Langada,49.28887824
184,Mango Neelam,38.04405843
185,Mango Raspuri,43.49184044
